vocab,type,meaning,weight
abnormal,adj,不正常的,0
aboriginal,adj,土著的;土著居民的,0
absentminded,adj,心不在焉的;健忘的,0
accessible,adj,可(或易)接近的;可(或易)得到的,0
accessory,adj,附加的;附屬的,0
accountable,adj,應負責任的;可說明的,0
acute,adj,尖銳的;敏銳的;劇烈的,0
administrative,adj,管理的;行政的,0
affectionate,adj,充滿深情的;溫柔親切的,0
alcoholic,adj,含酒精的;酗酒的,0
alternative,adj,兩者(或若干)中擇一的,0
ambiguous,adj,含糊不清的,0
amiable,adj,和藹可親的,0
analytical,adj,分析的,0
animate,adj,有生命的;活潑的;有活力的,0
anonymous,adj,匿名的,0
antarctic,adj,南極的;南極區的,0
antibiotic,adj,抗生的;抗菌的,0
applicable,adj,合用的;可實施的,0
approximate,adj,近似的;大概的,0
arctic,adj,北極的;北極區的,0
arrogant,adj,傲慢的;自大的,0
articulate,adj,發音清晰的;口才好的,0
attendant,adj,出席的;伴隨的;侍候的,0
authentic,adj,可信的;真實的,0
awesome,adj,令人敬畏的;非凡的,0
biological,adj,生物的;生物學的,0
bizarre,adj,奇異的;異乎尋常的,0
bleak,adj,荒涼的;陰冷的;無希望的,0
blunt,adj,鈍的;遲鈍的;直率的,0
brisk,adj,輕快的;興旺的;寒冷而清新的,0
brute,adj,畜生的;畜生般的;殘忍的,0
bulky,adj,體積大的;笨重的,0
captive,adj,被俘的;被迷住的,0
charitable,adj,慈善的;寬容的,0
chronic,adj,(病)慢性的;(人)久病的;長期的,0
clinical,adj,臨床的;診所的,0
coherent,adj,一致的;條理清楚的;連貫的,0
collective,adj,集體的;共同的,0
colloquial,adj,口語的;會話的,0
communicative,adj,愛說話的;交際的,0
comparable,adj,可比較的;比得上的,0
comparative,adj,比較的;相對的,0
compatible,adj,能共處的;可並立的;相容的,0
competent,adj,有能力的;能幹的;能勝任的,0
component,adj,組成的;構成的,0
comprehensive,adj,廣泛的;綜合的,0
concise,adj,簡明的,0
confidential,adj,祕密的;機密的,0
conscientious,adj,憑良心的;誠實的;認真的,0
constituent,adj,構成(全體)的;組成的;選舉的,0
controversial,adj,有爭議的;好議論的,0
coordinate,adj,同等重要的;座標的;對等的,0
cordial,adj,熱忱的;衷心的,0
corporate,adj,法人(組織)的;團體的;共同的,0
cosmetic,adj,化妝用的;裝飾性的;表面的,0
cosmopolitan,adj,世界性的;國際性的,0
credible,adj,可信的;可靠的,0
crooked,adj,彎曲的;欺詐的;不正派的,0
crucial,adj,決定性的;重要的,0
crude,adj,未經加工的;粗野的;粗糙的,0
cumulative,adj,漸增的;蓄積的;累計的,0
customary,adj,習慣上的;按慣例的,0
deadly,adj,"致命的,致死的;非常的,極度的",0
decent,adj,正派的;體面的,0
decisive,adj,決定性的;確定的;果斷的,0
deliberate,adj,深思熟慮的;蓄意的,0
delinquent,adj,怠忽職守的;拖欠的;犯法的,0
dental,adj,牙齒的;牙科的,0
designate,adj,指定的,0
destined,adj,命中注定的;(場所)預定的,0
diplomatic,adj,外交的;有外交手腕的,0
disastrous,adj,災害的;悲慘的,0
disciplinary,adj,訓練的;紀律的;懲戒的,0
discreet,adj,謹慎的;謙虛的;不引人注意的,0
disgraceful,adj,不名譽的;可恥的,0
dispensable,adj,非必要的;可分配的,0
disposable,adj,可任意處理的;用完即丟棄的,0
dissident,adj,意見不同的,0
diverse,adj,互異的;多變化的,0
documentary,adj,文件的;(電影、電視等)記錄的,0
drastic,adj,激烈的;極端的,0
dreary,adj,慘淡的;沈悶的,0
dual,adj,雙的;雙倍的;雙重的,0
dubious,adj,半信半疑的;含糊的,0
eccentric,adj,(人、行為等)古怪的,0
edible,adj,"可食的,食用的",0
editorial,adj,社論的,0
eligible,adj,有資格當選的;合格的,0
elite,adj,精英的,0
eloquent,adj,雄辯的;口才流利的,0
emphatic,adj,強調的;著重的,0
epidemic,adj,流行性的;傳染的;極為流行的,0
equivalent,adj,"相等的,相同的",0
ethical,adj,倫理的;道德的,0
ethnic,adj,種族的;人種學的,0
excessive,adj,過度的;極度的,0
exclusive,adj,排外的;唯一的;獨家的,0
exotic,adj,異國情調的;外來的,0
explicit,adj,詳盡的;清楚的,0
exquisite,adj,精緻的;精良的;精選的,0
extracurricular,adj,課外的,0
fabulous,adj,極好的;驚人的,0
feasible,adj,可行的;可能的,0
finite,adj,有限的,0
fireproof,adj,防火的;耐火的,0
fluid,adj,流動的;液體的;流暢的,0
formidable,adj,令人畏懼的;難對付的,0
forthcoming,adj,即將到來的,0
foster,adj,收養的,0
fragile,adj,易碎的;虛弱的,0
frail,adj,身體虛弱的;易損壞的,0
genetic,adj,基因的;遺傳(學)的,0
gloomy,adj,陰暗的;憂鬱的,0
graphic,adj,生動的;寫實的;圖解的,0
honorary,adj,(學位等)名譽上的;名譽職位的,0
hospitable,adj,好客的;(氣候等)宜人的,0
humanitarian,adj,人道主義的;博愛的,0
hysterical,adj,歇斯底里的;極可笑的,0
immune,adj,免疫的;免於...的,0
imperative,adj,必要的;命令式的;祈使法的,0
implicit,adj,不言明的;含蓄的,0
imposing,adj,壯觀的;氣勢宏偉的;莊嚴的,0
incentive,adj,"刺激的;鼓勵的,獎勵的",0
incidental,adj,易發生的;附帶的,0
inclusive,adj,包含的;包括在內的,0
inevitable,adj,不可避免的,0
infectious,adj,傳染的;有感染力的,0
ingenious,adj,心靈手巧的;足智多謀的,0
inherent,adj,固有的;與生俱來的,0
initiative,adj,開始的;初步的;創始的,0
innovative,adj,創新的,0
intact,adj,完整無缺的;原封不動的,0
invaluable,adj,非常貴重的;無價的,0
ironic,adj,具有諷刺意味的;挖苦的,0
irritable,adj,易怒的;急躁的,0
joyous,adj,快樂的;高興的,0
legendary,adj,傳說的;傳奇的,0
legislative,adj,立法的;有立法權的,0
legitimate,adj,合法的;合法婚姻所生的;合理的,0
lengthy,adj,長的;冗長的;囉唆的,0
liable,adj,易...的;可能的;負有法律責任的,0
literal,adj,照字面的;原義的;如實的,0
literate,adj,能讀寫的;有文化修養的,0
lunatic,adj,瘋的;瘋狂的,0
lush,adj,蒼翠繁茂的;豐富的,0
lyric,adj,抒情的;適於歌唱的,0
medieval,adj,中世紀的;中古風的;守舊的,0
melancholy,adj,憂鬱的;令人沮喪的,0
mellow,adj,(水果)成熟的;(人)圓熟的,0
metropolitan,adj,大都市的,0
militant,adj,好戰的;激進的,0
miniature,adj,小型的;小規模的,0
miraculous,adj,神奇的;奇蹟般的,0
mischievous,adj,惡作劇的;淘氣的,0
missionary,adj,傳教的;教會的;傳教士的,0
monotonous,adj,單調的;無變化的,0
mournful,adj,憂傷的;悲切的,0
municipal,adj,市的;市政的,0
mute,adj,沈默的;啞的,0
narrative,adj,敘事的;故事形式的,0
naval,adj,海軍的,0
neutral,adj,中立的;中立國的;空檔的,0
notorious,adj,惡名昭彰的,0
nutrient,adj,"營養的,滋養的",0
nutritious,adj,有營養的,0
obscure,adj,暗的;模糊的;偏僻的;微賤的,0
operational,adj,操作上的;經營上的,0
optional,adj,隨意的;非必須的,0
orderly,adj,整齊的;有條理的,0
outrageous,adj,可恥的;無法無天的;令人吃驚的,0
outright,adj,全部的;直率的;公開的,0
overhead,adj,在上頭的;高架的,0
pathetic,adj,可憐的;可悲的,0
patriotic,adj,愛國的,0
pedestrian,adj,徒步的;行人的,0
persistent,adj,堅持不懈的;固執的;持續的,0
perspective,adj,"透視的,透視畫的",0
petty,adj,小的;瑣碎的;氣量小的,0
photographic,adj,攝影(術)的;攝影用的,0
picturesque,adj,圖畫般的;美麗的,0
pious,adj,虔誠的;篤信的,0
pollutant,adj,受污染的;造成污染的,0
preliminary,adj,預備的;初步的,0
premature,adj,過早的;草率的;早產的,0
premier,adj,首位的;最早的,0
presidential,adj,總統的;總統選舉的,0
preventive,adj,預防的;防病的,0
profound,adj,深刻的;深度的,0
progressive,adj,逐漸的,0
prone,adj,有...傾向的;俯伏的,0
prospective,adj,預期的;盼望中的;未來的,0
provincial,adj,省的;鄉氣的,0
punctual,adj,準時的,0
quarrelsome,adj,喜歡爭吵的,0
radiant,adj,光芒四射的;容光煥發的;發熱的,0
radiate,adj,具輻射部的;輻射狀的,0
radical,adj,基本的;徹底的,0
random,adj,胡亂的;隨機的,0
rash,adj,輕率的;急躁的,0
rational,adj,理性的;明事理的;合理的,0
recipient,adj,接受的;受領的,0
recreational,adj,消遣的;娛樂的;休養的,0
redundant,adj,多餘的;過剩的,0
reflective,adj,反射的;沈思的;反映的,0
regardless,adj,"不注意的,不留心的;不關心的",0
relevant,adj,有關的;切題的,0
renowned,adj,有名的;有聲譽的,0
residential,adj,居住的;住宅的,0
resistant,adj,抵抗的,0
resolute,adj,堅決的;不屈不撓的,0
respective,adj,分別的;各自的,0
retail,adj,零售的,0
rhythmic,adj,有節奏的;有韻律的,0
rigorous,adj,嚴格的;嚴厲的;嚴密的,0
ritual,adj,(宗教)儀式的;典禮的,0
ruby,adj,紅寶石色的,0
sane,adj,神志正常的;頭腦清楚的,0
scenic,adj,風景的;景色秀麗的,0
selective,adj,有選擇性的,0
sentimental,adj,情深的;情感;多愁善感的,0
serene,adj,安詳的;寧靜的,0
sheer,adj,全然的;(紡織物)極薄的;陡峭的,0
shrewd,adj,精明的;狡猾的;機靈的,0
simultaneous,adj,同時發生的;同步的,0
skeptical,adj,懷疑的;多疑的,0
sneaky,adj,鬼鬼祟祟的,0
sociable,adj,好交際的;善交際的,0
sophisticated,adj,老於世故的;精通的;精密的,0
spacious,adj,寬敞的;廣闊的,0
spectacular,adj,壯觀的;壯麗的,0
spiral,adj,螺旋(形)的;盤旋的,0
spontaneous,adj,自發的;自然的,0
stationary,adj,不動的;定居的,0
strategic,adj,戰略的,0
subjective,adj,主觀的;個人的;主詞的,0
subordinate,adj,下級的;次要的;從屬的,0
subsequent,adj,隨後的;接著發生的,0
subtle,adj,微妙的;難捉摸的,0
suburban,adj,郊區的;近郊的,0
successive,adj,連續的;後繼的;繼承的,0
superb,adj,"宏偉的;華麗的; 上乘的,一流的",0
supersonic,adj,超音波的;超音速的,0
superstitious,adj,迷信的,0
surplus,adj,過剩的;剩餘的,0
symbolic,adj,象徵的;符號的,0
synthetic,adj,綜合(性)的;合成的;人造的,0
tedious,adj,冗長乏味的;使人厭煩的,0
textile,adj,紡織的,0
theatrical,adj,劇場的;戲劇的;戲劇性的,0
theoretical,adj,理論的;非應用的;假設的,0
thrifty,adj,節儉的;茂盛的,0
tranquil,adj,平靜的;安靜的;安寧的,0
triumphant,adj,勝利的;得意洋洋的,0
trivial,adj,瑣細的;平凡的,0
tropic,adj,熱帶的,0
truant,adj,逃學的;玩忽職守的,0
ultimate,adj,最後的;最終的,0
unanimous,adj,全體一致的,0
utmost,adj,最大的;最遠的;極度的,0
valiant,adj,勇敢的;英勇的,0
valid,adj,有根據的;有效的,0
variable,adj,易變的;變異的,0
versatile,adj,多才多藝的;多功能的,0
vicious,adj,惡意的;惡毒的,0
victorious,adj,勝利的,0
virtual,adj,實質上的;虛擬的,0
vocal,adj,聲音的;用言語表達的,0
vocational,adj,職業的,0
vulgar,adj,粗俗的;下流的,0
vulnerable,adj,易受傷的;有弱點的,0
