vocab,type,meaning,weight
abrupt,adj,突然的;意外的,0
absurd,adj,荒謬的;愚蠢的,0
abundant,adj,大量的;充足的; 豐富的,0
ace,adj,第一流的;突出的,0
adolescent,adj,青少年的;未成熟的,0
agricultural,adj,農業的,0
airtight,adj,密閉的;無懈可擊的,0
alien,adj,外國的;外國人的,0
allergic,adj,過敏的,0
alternate,adj,輪流的,0
ample,adj,大量的;充裕的,0
antique,adj,年代久遠的;古董的,0
apt,adj,易於...的;恰當的;聰明的,0
astray,adj,迷路的;離開正道的,0
barbarian,adj,野蠻(人)的,0
barefoot,adj,赤腳的,0
barren,adj,貧瘠的;荒蕪的;不妊的,0
bass,adj,低沈的;男低音的,0
beloved,adj,心愛的,0
beneficial,adj,有益的;有利的,0
blond,adj,白膚金髮碧眼的,0
blonde,adj,白膚金髮碧眼的,0
bodily,adj,肉體的;身體的;有形的,0
bronze,adj,青銅製的;青銅色的,0
carefree,adj,無憂無慮的;輕鬆愉快的,0
cautious,adj,十分小心的;謹慎的,0
centigrade,adj,攝氏的,0
chestnut,adj,栗色的,0
chubby,adj,圓胖的,0
civic,adj,城市的;市民的,0
clockwise,adj,順時針方向的;右旋的,0
colonial,adj,殖民地的;殖民的,0
commonplace,adj,平凡的;普通的,0
communist,adj,共產主義的,0
compact,adj,緊密的;結實的;小型的,0
compassionate,adj,有同情心的;慈悲的,0
compound,adj,"合成的,複合的",0
considerate,adj,體諒的,0
constitutional,adj,憲法的;生來的,0
contagious,adj,接觸傳染的;(感情等)感染性的,0
contemporary,adj,當代的,0
continental,adj,洲的;大陸的,0
coral,adj,珊瑚的;珊瑚色的,0
corrupt,adj,腐敗的;貪污的,0
counterclockwise,adj,逆時針方向的,0
cowardly,adj,膽小的;懦怯的,0
cozy,adj,舒適的;愜意的,0
crystal,adj,水晶的,0
descriptive,adj,描寫的;描述性的,0
destructive,adj,破壞的;毀滅性的,0
distinctive,adj,有特色的;特殊的,0
downward,adj,"向下的,下降的;日趨沒落的",0
dreadful,adj,可怕的,0
elaborate,adj,"精心製作的;煞費苦心的,辛勤的",0
enthusiastic,adj,熱情的;熱烈的,0
erect,adj,豎起的,0
eternal,adj,永久的;永恆的,0
evergreen,adj,常綠的;常青的,0
exceptional,adj,例外的;異常的;特殊的,0
excess,adj,過量的;額外的,0
executive,adj,執行的;行政部門的,0
extensive,adj,廣大的;廣闊的,0
exterior,adj,外部的;外面的,0
external,adj,外面的;外來的,0
extinct,adj,(火等)熄滅了的;絕種的,0
extraordinary,adj,異常的;特別的,0
federal,adj,聯邦(制)的,0
feeble,adj,虛弱的;軟弱的,0
feminine,adj,女性的;女孩氣的;陰性的,0
forgetful,adj,健忘的,0
foul,adj,惡臭的;污濁的;惡劣的;犯規的,0
frantic,adj,(因喜悅或憤怒等)發狂似的,0
gay,adj,同性戀的,0
geographical,adj,地理學的;地理的,0
gorgeous,adj,燦爛的;華麗的;極好的,0
grim,adj,無情的;嚴厲的;恐怖的,0
gross,adj,總的;粗略的;令人噁心的,0
hardy,adj,能吃苦耐勞的;(植物等)耐寒的,0
hearty,adj,衷心的;健壯的;豐盛的,0
heavenly,adj,天堂般的,0
heroic,adj,英雄的;英勇的,0
heterosexual,adj,異性戀的,0
hoarse,adj,(嗓音)嘶啞的,0
homosexual,adj,同性戀的,0
horizontal,adj,水平的;橫的,0
hostile,adj,敵方的;懷敵意的,0
immense,adj,巨大的;廣大的,0
imperial,adj,帝國的,0
indifferent,adj,不感興趣的;中立的;無關緊要的,0
indignant,adj,憤怒的;憤慨的,0
indispensable,adj,必不可少的;必需的,0
infinite,adj,無限的,0
initiate,adj,新加入的,0
inland,adj,內地的;內陸的,0
innumerable,adj,無數的,0
intent,adj,專注的;熱切的;堅決要做的,0
interior,adj,內的;內部的,0
inward,adj,"裡面的,內部的;內心的;向內的",0
jolly,adj,"快活的,高興的",0
juvenile,adj,少年的;孩子氣的;幼年的,0
kin,adj,有親屬關係的;同類的;類似的,0
knowledgeable,adj,博學的;有見識的,0
lame,adj,跛腳的;站不住腳的,0
lifelong,adj,終身的;一輩子的,0
locomotive,adj,活動的;移動的;火車頭的,0
lofty,adj,高聳的;極高的;高傲的,0
lonesome,adj,寂寞的;孤單的;荒涼的,0
maiden,adj,未婚的;少女的;初次的,0
majestic,adj,雄偉的;威嚴的;崇高的,0
manifest,adj,顯然的;清楚的,0
marginal,adj,頁邊的;邊緣的;不重要的,0
marine,adj,海的;海生的;海軍陸戰隊的,0
martial,adj,戰爭的;軍事的;尚武的,0
masculine,adj,男性的;男子氣概的,0
massive,adj,厚實的;粗大的;大量的,0
migrant,adj,移居(尤指移出國境)的;流浪的,0
minimal,adj,最小的;極微的,0
mock,adj,假的;假裝的;模擬的,0
monstrous,adj,怪異的;駭人聽聞的;巨大的,0
mortal,adj,會死的;凡人的;致命的;極度的,0
muscular,adj,肌肉的;健壯的,0
naive,adj,天真的;幼稚的;輕信的,0
nasty,adj,齷齪的;卑鄙的;難處理的,0
nonviolent,adj,非暴力的,0
notable,adj,值得注意的;顯著的,0
noticeable,adj,顯而易見的;顯著的,0
nude,adj,裸的;與生俱有的,0
oblong,adj,橢圓形的,0
obstinate,adj,頑固的;頑強的,0
olive,adj,橄欖的;橄欖色的,0
oriental,adj,(珍珠等)光輝奪目的;優質的,0
outgoing,adj,直率的;往外的;即將離職的;友善的,0
outward,adj,向外的;往外去的,0
overall,adj,"總的,全部的,全面的",0
pacific,adj,(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的,0
parallel,adj,"平行的,同方向的",0
passionate,adj,熱情的;激昂的,0
patent,adj,專利的,0
permissible,adj,可允許的,0
poetic,adj,詩的;韻文的,0
polar,adj,北極的;南極的;截然對立的,0
potential,adj,"潛在的,可能的",0
prehistoric,adj,史前的;舊式的,0
priceless,adj,無價的;稀世之珍的,0
prior,adj,在先的;在前的;居先的,0
ragged,adj,破爛的;不整潔的;參差不齊的,0
